emotion,model_used,status,error,rationale,V_right_pole_score_0_1000,V_left_pole_score_0_1000,V_signed_score_m1000_to_p1000,V_direction_label,V_direction_code,V_confidence_0_1,A_right_pole_score_0_1000,A_left_pole_score_0_1000,A_signed_score_m1000_to_p1000,A_direction_label,A_direction_code,A_confidence_0_1,C_right_pole_score_0_1000,C_left_pole_score_0_1000,C_signed_score_m1000_to_p1000,C_direction_label,C_direction_code,C_confidence_0_1,U_right_pole_score_0_1000,U_left_pole_score_0_1000,U_signed_score_m1000_to_p1000,U_direction_label,U_direction_code,U_confidence_0_1,S_right_pole_score_0_1000,S_left_pole_score_0_1000,S_signed_score_m1000_to_p1000,S_direction_label,S_direction_code,S_confidence_0_1
abandoned,google/gemini-3-flash-preview,ok,,"Abandoned is a highly negative, low-control state defined by the social loss of a caregiver or partner, creating significant uncertainty and moderate-to-low arousal.",115,885,-770,toward_left_pole,-1,0.95,480,520,-40,balanced,0,0.85,105,895,-790,toward_left_pole,-1,0.95,720,280,440,toward_right_pole,1,0.9,890,110,780,toward_right_pole,1,0.9
adoring,google/gemini-3-flash-preview,ok,,"Adoring is a highly positive, other-oriented emotion characterized by deep affection, moderate arousal, and a sense of certainty and devotion toward the object of love.",910,90,820,toward_right_pole,1,0.95,580,420,160,toward_right_pole,1,0.85,420,580,-160,toward_left_pole,-1,0.8,210,790,-580,toward_left_pole,-1,0.85,940,60,880,toward_right_pole,1,0.98
affectionate,google/gemini-3-flash-preview,ok,,"Affectionate is a highly positive, other-oriented emotion characterized by warmth, moderate physiological calm, and a sense of relational security.",890,110,780,toward_right_pole,1,0.98,420,580,-160,toward_left_pole,-1,0.92,680,320,360,toward_right_pole,1,0.85,180,820,-640,toward_left_pole,-1,0.88,940,60,880,toward_right_pole,1,0.99
afraid,google/gemini-3-flash-preview,ok,,"Afraid is a high-arousal, negative-valence state defined by low control and high uncertainty, primarily centered on individual survival and threat avoidance.",180,820,-640,toward_left_pole,-1,0.95,780,220,560,toward_right_pole,1,0.9,210,790,-580,toward_left_pole,-1,0.85,820,180,640,toward_right_pole,1,0.8,350,650,-300,toward_left_pole,-1,0.7
aggrieved,google/gemini-3-flash-preview,ok,,"Aggrieved describes feeling mistreated or wronged, resulting in negative valence, moderate arousal, low agency, and a strong social focus on the perpetrator.",180,820,-640,toward_left_pole,-1,0.95,580,420,160,toward_right_pole,1,0.85,310,690,-380,toward_left_pole,-1,0.9,240,760,-520,toward_left_pole,-1,0.8,720,280,440,toward_right_pole,1,0.85
agitated,google/gemini-3-flash-preview,ok,,"Agitation is a high-arousal, negative state marked by low control and restlessness, typically triggered by stressful or unpredictable circumstances.",210,790,-580,toward_left_pole,-1,0.95,840,160,680,toward_right_pole,1,0.98,280,720,-440,toward_left_pole,-1,0.9,620,380,240,toward_right_pole,1,0.85,450,550,-100,toward_left_pole,-1,0.8
alarmed,google/gemini-3-flash-preview,ok,,"Alarmed represents a high-arousal, negative state characterized by sudden uncertainty and a perceived lack of immediate control over a startling threat.",210,790,-580,toward_left_pole,-1,0.95,840,160,680,toward_right_pole,1,0.98,320,680,-360,toward_left_pole,-1,0.85,780,220,560,toward_right_pole,1,0.9,450,550,-100,toward_left_pole,-1,0.75
alienated,google/gemini-3-flash-preview,ok,,"Alienated represents a low-valence, low-arousal state of social disconnection characterized by low agency and high social orientation due to the focus on external exclusion.",180,820,-640,toward_left_pole,-1,0.95,320,680,-360,toward_left_pole,-1,0.85,210,790,-580,toward_left_pole,-1,0.9,640,360,280,toward_right_pole,1,0.8,880,120,760,toward_right_pole,1,0.9
amazed,google/gemini-3-flash-preview,ok,,"Amazement is a high-arousal, positive state driven by unexpected stimuli, characterized by high uncertainty and a slight loss of perceived control.",820,180,640,toward_right_pole,1,0.95,740,260,480,toward_right_pole,1,0.9,410,590,-180,toward_left_pole,-1,0.85,880,120,760,toward_right_pole,1,0.9,550,450,100,toward_right_pole,1,0.7
amorous,google/gemini-3-flash-preview,ok,,"Amorous is a highly social, positive state characterized by physiological arousal and a strong orientation toward a romantic or sexual partner.",840,160,680,toward_right_pole,1,0.95,680,320,360,toward_right_pole,1,0.9,520,480,40,balanced,0,0.8,410,590,-180,toward_left_pole,-1,0.85,910,90,820,toward_right_pole,1,0.98
